configuration,depth,learning_rate,l2_leaf_reg,random_strength,mean_MAE,std_MAE,worst_fold_MAE,mean_RMSE,mean_R2,mean_best_iteration
T4_depth8_regularized,8,0.025,10.0,1.0,100.98638261285758,9.308956403759321,107.45843411422324,626.2510629389379,0.8276782452682115,1556.3333333333333
T3_depth7,7,0.035,5.0,1.0,101.32059034216672,12.337633554557032,111.4476437409352,626.7089144138546,0.8274245740556152,1746.0
T1_baseline,8,0.03,5.0,1.0,103.16007462522388,12.494758525171239,114.24399959541684,626.4606434253888,0.8275879094452482,1132.6666666666667
T6_depth8_low_randomness,8,0.03,7.0,0.5,104.04480413141216,10.944585885518126,112.84839364752666,626.7467074644502,0.8274072944882497,1273.0
T2_depth6,6,0.04,5.0,1.0,104.31572881409534,15.770923540422558,118.2720504383641,627.6285573397092,0.8269511595584399,1270.0
T5_depth9_regularized,9,0.025,10.0,1.0,106.30281136264965,9.772824085258783,114.02041625940481,627.7641467870225,0.8268504708375163,1002.6666666666666
