strategy,mean_MAE,std_MAE,worst_fold_MAE,mean_RMSE,mean_R2,mean_best_iteration,total_removed,total_capped
keep_all,100.98638261285758,9.308956403759321,107.45843411422324,626.2510629389379,0.8276782452682115,1556.3333333333333,0,0
cap_extreme_targets,101.07772337008687,9.454139471674784,107.34747386515977,626.2637061241953,0.8276693574211089,1645.6666666666667,0,1156
remove_strong_anomalies,110.19515541684196,16.97164607528737,126.16451276233224,628.9519334511947,0.8261943506872728,1993.6666666666667,1541,0
