strategy,fold,original_train_rows,model_train_rows,removed_rows,capped_rows,best_iteration,MAE,RMSE,R2
keep_all,fold_1_august,33718,33718,0,0,1512,90.31792244606017,613.7783015246818,0.8268022447338678
keep_all,fold_2_september,38477,38477,0,0,1696,105.18279127828934,616.5251618086324,0.8361981384439467
keep_all,fold_3_october,43147,43147,0,0,1461,107.45843411422324,648.4497254834996,0.82003435262682
remove_strong_anomalies,fold_1_august,33718,33271,447,0,2493,92.37322662102666,615.2854836325611,0.8259505982671178
remove_strong_anomalies,fold_2_september,38477,37962,515,0,1687,112.04772686716697,619.4913828866919,0.8346181823363026
remove_strong_anomalies,fold_3_october,43147,42568,579,0,1801,126.16451276233224,652.0789338343312,0.8180142714583979
cap_extreme_targets,fold_1_august,33718,33718,0,338,2140,90.20344086507723,613.8968346347974,0.8267353422353773
cap_extreme_targets,fold_2_september,38477,38477,0,386,1830,105.68225538002365,616.3360456402172,0.8362986139192152
cap_extreme_targets,fold_3_october,43147,43147,0,432,967,107.34747386515977,648.5582380975713,0.8199741161087344
